Player,Pos,3P,TRB,BLK
Georgios Papagiannis,C,0.0,3.9,0.8
Eric Gordon,SG,3.3,2.7,0.5
Joel Embiid,C,1.2,7.8,2.5
Alexis Ajinca,C,0.0,4.5,0.6
Sean Kilpatrick,SG,1.5,4.0,0.1
Kyle Korver,SG,2.4,2.8,0.3
Troy Daniels,SG,2.1,1.5,0.1
Al Horford,C,1.3,6.8,1.3
Danny Green,SG,1.7,3.3,0.8
Robin Lopez,C,0.0,6.4,1.4
J.J. Redick,SG,2.6,2.2,0.2
Nene Hilario,C,0.0,4.2,0.6
Austin Rivers,SG,1.5,2.2,0.1
Kentavious Caldwell-Pope,SG,2.0,3.3,0.2
Garrett Temple,SG,1.3,2.8,0.4
Jodie Meeks,SG,1.6,2.1,0.1
Dwyane Wade,SG,0.8,4.5,0.7
Clint Capela,C,0.0,8.1,1.2
Avery Bradley,SG,2.0,6.1,0.2
Courtney Lee,SG,1.4,3.4,0.3
DeMarcus Cousins,C,1.8,11.0,1.3
Zach LaVine,SG,2.6,3.4,0.2
Devin Booker,SG,1.9,3.2,0.3
Nikola Jokic,C,0.6,9.8,0.8
Tim Hardaway,SG,1.9,2.8,0.2
Nicolas Batum,SG,1.8,6.2,0.4
Lou Williams,SG,2.0,2.5,0.2
Dion Waiters,SG,1.8,3.3,0.4
C.J. McCollum,SG,2.3,3.6,0.5
Bradley Beal,SG,2.9,3.1,0.3
Tarik Black,C,0.0,5.1,0.7
Willie Cauley-Stein,C,0.0,4.5,0.6
Dwight Howard,C,0.0,12.7,1.2
Marc Gasol,C,1.4,6.3,1.3
Alex Len,C,0.0,6.6,1.3
Richaun Holmes,C,0.5,5.5,1.0
Wayne Ellington,SG,2.4,2.1,0.1
Mason Plumlee,C,0.0,7.5,1.1
Jonas Valanciunas,C,0.0,9.5,0.8
Hassan Whiteside,C,0.0,14.1,2.1
Jason Smith,C,0.5,3.5,0.7
Steven Adams,C,0.0,7.7,1.0
Nikola Vucevic,C,0.3,10.4,1.0
Andre Drummond,C,0.0,13.8,1.1
E'Twaun Moore,SG,1.1,2.1,0.4
J.R. Smith,SG,2.3,2.8,0.3
Justin Hamilton,C,0.9,4.1,0.7
Tristan Thompson,C,0.0,9.2,1.1
Brook Lopez,C,1.8,5.4,1.7
Alex Abrines,SG,1.4,1.3,0.1
Marco Belinelli,SG,1.4,2.4,0.1
Evan Fournier,SG,1.9,3.1,0.1
Denzel Valentine,SG,1.3,2.6,0.1
Rodney Hood,SG,1.9,3.4,0.2
Channing Frye,C,1.9,3.9,0.5
Will Barton,SG,1.5,4.3,0.5
Klay Thompson,SG,3.4,3.7,0.5
A.J. Hammons,C,0.2,1.6,0.6
Nik Stauskas,SG,1.7,2.8,0.4
Jordan Clarkson,SG,1.4,3.0,0.1
Gary Harris,SG,1.9,3.1,0.1
Victor Oladipo,SG,1.9,4.3,0.3
Wesley Matthews,SG,2.4,3.5,0.2
Edy Tavares,C,0.0,5.5,3.0
Myles Turner,C,0.5,7.3,2.1
Karl-Anthony Towns,C,1.2,12.3,1.3
Roy Hibbert,C,0.0,3.2,1.0
Buddy Hield,SG,1.8,3.3,0.1
DeAndre Jordan,C,0.0,13.8,1.7
Marcin Gortat,C,0.0,10.4,0.7
Joe Harris,SG,1.6,2.8,0.2
Frank Kaminsky,C,1.5,4.5,0.5
Kosta Koufos,C,0.0,5.7,0.7
JaVale McGee,C,0.0,3.2,0.9
John Henson,C,0.0,5.1,1.3
Patrick Beverley,SG,1.6,5.9,0.4
Marcus Smart,SG,1.2,3.9,0.4
Anthony Davis,C,0.5,11.8,2.2
Iman Shumpert,SG,1.2,2.9,0.4
Ian Mahinmi,C,0.0,4.8,0.8
